Exercise Name,Age Suitability,Goal,Primary Category,Body Region,Equipments,Fitness Level,Sets,Reps,RPE,Rest intervals,Health benefit,Steps to perform,Safety cue,MET value,is_not_suitable_for,Physical limitation,Tags
Seated Punch Reach,60+,Weight Gain,Activation/Mobility,Upper,Bodyweight,Beginner,3,15-12,7-6,30-45 sec,Enhances upper body mobility and arm endurance,"1. Sit upright on a chair with feet flat and shoulders relaxed.
2. Extend your right arm forward at shoulder height and reach your fingertips straight out.
3. Pull your right hand back to your chest and then extend your left arm forward in the same way.
4. Alternate punches with full arm extension and a steady, controlled tempo.",Sit tall with shoulders relaxed and extend punches with controlled breathing,2.2,,Shoulder pain (general),
Standing Weight Shift Flow,All Ages,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,3,12-10,8-6,45-60 sec,Improves balance and controlled weight transfer,"1. Stand tall with feet hip-width apart and knees soft.
2. Shift your weight smoothly onto your right foot and lift your left heel.
3. Move your weight back through center and shift onto your left foot while lifting your right heel.
4. Continue alternating sides in a controlled flowing rhythm.",Shift weight smoothly through the midfoot keeping knees soft and movements controlled,3,,Limited single-leg balance,Main workout
Standing Heel Lift Pulse,40-59,Weight Maintenance,Strength,Lower,Bodyweight,Beginner,3,15-20,7-6,30-45 sec,Strengthens calf muscles and enhances ankle stability,"1. Stand tall with feet together and hands at your hips.
2. Rise onto the balls of both feet until your heels lift.
3. Pulse up and down lightly with small controlled movements.",Maintain controlled movement and proper alignment throughout,2.4,,Ankle instability / recurrent sprains,Main workout
Arm Raise Breathing,All Ages,Weight Gain,Activation/Mobility,Upper,Bodyweight,Beginner,3,12-8,7-6,30-45 sec,Combines deep breathing with shoulder mobility to promote relaxation,"1. Stand tall with feet hip-width apart and arms relaxed at your sides.
2. Inhale and sweep both arms up overhead with palms facing each other.
3. Exhale and lower your arms back to your sides with control.
4. Coordinate each arm movement with slow steady breathing.",Coordinate breath with the raise exhaling on the lift and keep shoulders down,4,,Limited overhead reach,
Seated Torso Rotation,60+,Weight Maintenance,Activation/Mobility,Core,Bodyweight,Beginner,3,15-12,7-6,30-45 sec,Increases spinal mobility and improves trunk rotation control,"1. Sit tall on a chair or the floor with feet flat and knees bent.
2. Cross your arms over your chest or place hands behind your head.
3. Rotate your torso to the right while keeping your hips facing forward.
4. Rotate to the left and repeat the movements in a controlled manner.",Rotate from the upper spine with hips square and core engaged,2,,Thoracic stiffness (upper-back rigidity),Warm up
Standing Reach Walk (No Step),40-59,Weight Loss,Balance & Stability,Full,Bodyweight,Beginner,3,12-10,8-7,45-60 sec,Enhances dynamic balance and forward reach confidence without stepping,"1. Stand tall with feet hip-width apart and arms at your sides.
2. Reach both arms overhead and lengthen through your spine.
3. Take a small forward step and lower your arms back to your sides.
4. Alternate stepping and reaching as you move forward or march in place.",Reach forward with a tall neutral spine and control each movement without stepping,2.4,,Limited single-leg balance,Main workout
Ankle Alphabet,All Ages,Weight Maintenance,Activation/Mobility,Lower,Bodyweight,Beginner,2,2-1,7-6,30-45 sec,Improves ankle range of motion and proprioception through controlled movements,"1. Sit on a chair or the floor with one leg extended and the other foot flat.
2. Lift the extended foot slightly off the ground and point the toes.
3. Use your big toe to write each letter of the alphabet in the air with small, controlled motions.
4. Switch legs and repeat the alphabet on the other ankle.",Trace the alphabet with controlled ankle motion keeping the foot relaxed and supported,4,,Ankle pain,
Seated Hip Extension,60+,Weight Gain,Activation/Mobility,Lower,Bodyweight,Beginner,3,15-12,8-7,45-60 sec,Strengthens glutes and supports hip extension mobility,"1. Seated Hip Extension: Sit upright on a sturdy chair with feet flat and knees bent.
2. Press your heels into the floor and squeeze your glutes to lift your hips slightly.
3. Hold the top position for two seconds while keeping your spine neutral.
4. Lower your hips with control back to the seat and repeat.",Keep the pelvis level and drive the movement from the glutes with core engaged,2.6,,Hip stiffness / limited hip mobility,
Standing Pelvic Tilt,40-59,Weight Loss,Activation/Mobility,Core,Bodyweight,Beginner,3,15-10,8-6,30-45 sec,Improves lower back and core stability,"1. Standing Pelvic Tilt: Stand with feet hip-width apart and knees soft.
2. Pull your belly button toward your spine and tuck your tailbone under.
3. Hold the tucked position for two seconds while breathing normally.
4. Release to a neutral spine and repeat with controlled movement.",Keep core braced and tilt the pelvis using the low abdominals,5,,Lower back pain (non-specific),
Shoulder Roll Flow,All Ages,Weight Maintenance,Activation/Mobility,Upper,Bodyweight,Beginner,2,12-10,7-6,15-30 sec,Enhances shoulder mobility and loosens upper back muscles,"1. Shoulder Roll Flow: Stand tall with arms relaxed at your sides.
2. Lift your shoulders toward your ears and roll them back and down in a smooth arc.
3. Reverse the motion by lifting and rolling the shoulders forward and down.
4. Coordinate the movement with steady breathing and repeat the flow.",Roll the shoulders slowly with control keeping the neck relaxed,2.2,,Limited shoulder range of motion,
Neck Retraction Drill,60+,Weight Maintenance,Activation/Mobility,Upper,Bodyweight,Beginner,3,10-8,8-6,15-30 sec,Promotes neck alignment and reduces forward head posture,"1. Sit or stand tall with shoulders relaxed and eyes forward.
2. Gently pull your chin straight back, creating a double chin without tilting the head.
3. Hold the retracted position for 2-3 seconds while breathing normally.
4. Slowly release to neutral and repeat.",Retract the chin straight back keeping eyes level and spine neutral,6,,Neck pain,Warmup
Seated Spine Flexion,All Ages,Weight Gain,Flexibility / Stretching,Core,Bodyweight,Beginner,2,12-8,7-6,30-45 sec,Increases spinal flexibility and stretches the lower back,"1. Sit on the floor with legs extended and feet hip-width apart.
2. Exhale and slowly round your spine from the tailbone toward the head, sliding your hands toward your feet.
3. Hold briefly, then inhale and articulate the spine back upright.",Exhale as you round forward and hinge from the hips with the pelvis anchored,6,,Lower back pain (non-specific),
Wrist Mobility Circles,60+,Weight Maintenance,Activation/Mobility,Upper,Bodyweight,Beginner,2,15-20,7-6,15-30 sec,Maintains wrist range of motion and eases joint stiffness,"1. Sit or stand with arms extended in front and elbows soft.
2. Make loose fists or spread your fingers and slowly trace circular motions with both wrists while keeping forearms still.
3. Reverse direction after several circles and continue for desired repetitions.",Circle the wrists slowly with relaxed forearms and shoulders down,6,,Wrist pain / limited wrist mobility,
Breathing + Arm Sweep,All Ages,Weight Maintenance,Activation/Mobility,Upper,Bodyweight,Beginner,3,12-8,7-6,15-30 sec,Enhances rib cage expansion and coordinates breath with movement,"1. Stand tall with feet hip-width apart and knees soft.
2. Inhale deeply through the nose and sweep both arms out to the sides and overhead.
3. Pause briefly at the top with shoulders relaxed.
4. Exhale slowly through the mouth and lower your arms back to your sides.",Inhale to sweep the arms overhead and exhale as you lower with control,6,,Limited overhead reach,Warmup
Standing Hip Abduction (Short),40-59,Weight Gain,Activation/Mobility,Lower,Bodyweight,Beginner,3,15-10,8-6,30-45 sec,Strengthens hip abductors and improves lateral stability,"1. Stand tall with weight on one leg and hands on hips for balance.
2. Lift the other leg straight out to the side with toes pointing forward and torso still.
3. Lower the lifted leg with control and repeat with the opposite leg.",Stand tall and lift the leg from the outer hip without leaning the torso,2.8,,Limited single-leg balance,
Neck Side Stretch,60+,Weight Maintenance,Flexibility / Stretching,Upper,Bodyweight,Beginner,2,15-30,7-6,15-30 sec,Enhances lateral neck mobility and movement range,"1. Sit or stand tall with shoulders relaxed and spine neutral.
2. Place your right hand on the left side of your head and gently tilt the head toward the right shoulder until you feel a stretch.
3. Hold briefly, return to center, and repeat the same steps on the other side.",Maintain controlled movement and proper alignment throughout,4,,Neck pain,Cooldown
Overhead Reach Stretch,All Ages,Weight Gain,Flexibility / Stretching,Upper,Bodyweight,Beginner,2,15-20,8-6,30-45 sec,Promotes shoulder mobility and thoracic extension,"1. Stand tall with feet hip-width apart and arms at your sides.
2. Raise one arm overhead and reach up and slightly to the opposite side.
3. Hold the reach for several slow breaths, lower the arm, and repeat on the other side.",Engage your core and reach upward without overarching the lower back,2.1,,Limited overhead reach,Cooldown
Seated Spinal Lengthening,60+,Weight Loss,Activation/Mobility,Core,Bodyweight,Beginner,2,20-30,8-6,30-60 sec,Encourages upright posture and spinal alignment,"1. Sit on the floor with legs crossed and sit bones grounded.
2. Place hands on your knees and inhale to lift the chest and lengthen the spine.
3. Exhale and draw the navel slightly toward the spine while keeping the crown of the head lifted.
4. Hold the tall posture for several breaths, then relax the shoulders.",Sit tall with a neutral chin and lengthen the spine as you inhale,4,,Lumbar stiffness / restricted spinal mobility,
Supported Quad Stretch (Shallow),All Ages,Weight Maintenance,Flexibility / Stretching,Lower,Bodyweight,Beginner,2,20-30,7-6,30-45 sec,Gently increases quadriceps flexibility and knee joint range,"1. Stand near a wall and place one hand lightly on it for balance.
2. Bend the same-side knee and reach back with the free hand to gently cup your ankle.
3. Keep knees close and tilt the pelvis forward slightly to create a shallow quad stretch.
4. Hold for a few breaths, then release and repeat on the opposite leg.",Maintain controlled movement and proper alignment throughout,4,,Knee pain (general / chronic),Cooldown
Arm Cross Stretch,40-59,Weight Gain,Flexibility / Stretching,Upper,Bodyweight,Beginner,2,15-30,7-6,15-30 sec,Targets posterior shoulder and upper back mobility,"1. Stand tall with feet hip-width apart.
2. Extend your right arm straight across your chest at shoulder height.
3. Use your left hand to pull the right arm closer to your chest while keeping shoulders relaxed.",Keep the torso square and pull the arm across the chest with a straight spine,6,,Limited shoulder range of motion,Cooldown
