,Exercise Name,Age Suitability,Goal,Primary Category,Body Region,Equipments,Fitness Level,Physical limitations,Sets,Reps,RPE,Rest intervals,Health benefit,Steps to perform,Safety cue,MET value
67,Single-Leg Bridge (Fast),All Ages,Weight gain,Strength,Lower,Bodyweight,Intermediate,Knee pain (general / chronic),3,8–12,7–8,60–90 sec,Builds single leg hip extension power and explosive glute activation,"1. Lie on your back with one knee bent and the other leg extended toward the ceiling.
2. Drive through the planted heel and explosively lift hips until your body forms a straight line.
3. Lower hips quickly back toward the ground without touching, keeping the extended leg lifted.
4. Repeat fast for reps then switch legs.",Drive through the heel of the working leg keep hips level and control each rep,5.5
68,Full Pistol Squats,All Ages,Weight gain,Strength,Lower,Bodyweight,Advanced,Knee pain (general / chronic),3,4–6,8–9,90–120 sec,"Develops maximal single leg strength, balance and ankle mobility","1. Stand on one leg with the other leg extended straight in front and arms extended.
2. Slowly hinge hips back and lower into a deep single-leg squat, keeping the extended leg off the floor.
3. Keep chest upright and reach hands forward for balance as you descend.
4. Drive through the heel to stand back up and repeat on the other leg.",Sit back with a braced core keep knee aligned over toes and lower under control,6
69,Sissy Squats,40–59,Weight gain,Mobility,Lower,Bodyweight,Advanced,Knee pain (general / chronic),3,8–12,7–8,60–90 sec,Isolates quadriceps strength and improves knee flexion control,"1. Stand with feet hip-width and place hands on a stable support.
2. Rise onto your toes, lean back slightly, and bend knees while keeping your torso upright as you lower toward your knees.
3. Press through your toes to extend knees and return to the starting upright position.",Maintain controlled movement and proper alignment throughout,4.5
70,Box Jumps (High),40–59,Weight loss,Cardio,Full,Bodyweight,Advanced,Knee pain (general / chronic),3,5–8,7–9,90–120 sec,Enhances explosive lower body power and reactive jumping coordination,"1. Stand facing a sturdy high box with feet shoulder-width and knees slightly bent.
2. Swing your arms and explode upward, driving through the balls of your feet to jump onto the box.
3. Land softly with knees bent and hips back, absorbing the impact.
4. Step down carefully and reset before the next rep.",Explode up and land softly with hips hinged and knees bent to absorb impact,8.5
71,Burpee Box Jumps,All Ages,Weight loss,Cardio,Full,Bodyweight,Advanced,Knee pain (general / chronic),3,6–8,7–8,60–90 sec,Develops explosive lower body power and boosts cardiovascular fitness,"1. Squat and place hands on the floor, then kick feet back into a plank position.
2. Lower chest to the ground and immediately jump feet forward under your hips.
3. Explode upward and jump onto the box, landing with bent knees.
4. Step or hop down carefully and reset.",Keep core braced and land softly with knees tracking over the toes,9
72,Depth Jumps,40–59,Weight loss,Cardio,Full,Bodyweight,Advanced,Knee pain (general / chronic),3,4–6,8–9,120–180 sec,Improves reactive strength and neuromuscular efficiency for jumping tasks,"1. Stand on a box with feet hip-width and step off, leading with both feet together.
2. Land softly on the balls of your feet and absorb the impact with bent knees.
3. Immediately explode upward into a maximal vertical jump.
4. Land softly and reset your balance.",Step off controlled and absorb the landing through the hips and knees,7.5
73,Split Jump Lunges,All Ages,Weight loss,Cardio,Lower,Bodyweight,Advanced,Knee pain (general / chronic),3,8–12,7–8,60–90 sec,Enhances unilateral leg power and dynamic balance during movement transitions,"1. Start in a forward lunge with one knee over the ankle.
2. Drive through the front foot and swing arms to jump vertically.
3. Switch legs mid-air and land in a lunge on the opposite side.
4. Control the landing and repeat the explosive switch.",Keep torso upright and drive through the front heel while controlling the switch,7
74,Single-Leg Box Jumps,40–59,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Advanced,Knee pain (general / chronic),3,4–6,8–9,120–180 sec,Builds single leg explosiveness and balance for athletic movements,"1. Stand on one leg facing the box with knee slightly bent.
2. Swing your arms and explode upward off the standing leg.
3. Land on the box on the same leg with a soft, bent knee.
4. Step down slowly and repeat on the same leg.",Explode from the standing leg and land quietly with a soft bent knee,8.5
75,Triple Jumps,40–59,Weight loss,Cardio,Full,Bodyweight,Advanced,Knee pain (general / chronic),3,4–6,7–8,90–120 sec,Develops coordinated plyometric sequencing and horizontal power for jumps,"1. Begin with a running approach and hit the takeoff board with one foot.
2. Perform a strong hop off the takeoff foot and land on the same foot for the second hop.
3. Transition into a final bound onto the opposite foot with forward drive.
4. Land balanced with bent knees and hold briefly.",Maintain a slight forward lean from the hips and control each landing transition,8.5
76,Dragon Squats,All Ages,Weight gain,Mobility,Lower,Bodyweight,Advanced,Knee pain (general / chronic),3,6–8,7–8,90–120 sec,Enhances single leg strength and hip mobility through deep controlled squatting,"1. Stand with one foot forward and the other leg extended behind.
2. Bend the front knee and lower into a deep single-leg squat.
3. Keep chest upright and reach forward with the opposite hand for balance.
4. Push through the front heel to return to standing.",Maintain controlled movement and proper alignment throughout,5.5
77,Shrimp Squats,40–59,Weight gain,Strength,Lower,Bodyweight,Advanced,Knee pain (general / chronic),3,6–8,7–8,90–120 sec,Improves unilateral knee and glute strength while challenging balance and mobility,"1. Stand on one leg and grab the ankle of the other foot behind you.
2. Bend the standing knee and lower your hips toward the floor while pulling the back foot closer.
3. Control the descent until comfortable depth is reached.
4. Push through the heel to return to standing.",Brace the core and descend slowly keeping the knee aligned and hips level,5.5
78,Plyometric Pushups (Kneeling),60+,Weight Maintenance,Strength,Upper,Bodyweight,Intermediate,Knee pain (general / chronic),3,6–10,6–8,60–90 sec,Increases upper body power and reactive arm strength from a safer position,"1. Kneel with hands shoulder-width on the floor and torso upright.
2. Lower your chest toward the floor by bending the elbows.
3. Explode upward to lift your hands off the floor and land them back down softly.",Keep shoulders packed and control the lowering phase while landing softly,5
79,Tuck Jumps (Full),40–59,Weight loss,Cardio,Full,Bodyweight,Advanced,Knee pain (general / chronic),3,8–12,8–9,90–120 sec,Boosts vertical power and anaerobic capacity through rapid knee drive,"1. Stand with feet hip-width and slightly bend your knees.
2. Explode upward and tuck both knees toward your chest at peak height.
3. Land softly on the balls of your feet with bent knees and prepare the next jump.",Pull knees up with a braced core and land softly with knees slightly bent,9.5
80,Single-Leg Burpees,40–59,Weight loss,Cardio,Full,Bodyweight,Advanced,Knee pain (general / chronic),3,6–8,8–9,120–180 sec,Combines unilateral strength and cardiovascular challenge to improve functional endurance,"1. Stand on one leg and place hands on the floor, kicking the other leg back into a plank.
2. Lower your chest to the ground into a push-up position.
3. Jump your feet forward onto the standing leg.
4. Explode upward into a single-leg jump and land softly on that leg.",Maintain a neutral spine and control the hop keeping weight centered over the single foot,10
81,One-Leg Landing Drills,All Ages,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Intermediate,Knee pain (general / chronic),3,5–8,6–7,60–90 sec,Improves single-leg balance and landing control,"1. Stand on a low box or step on one leg with the opposite knee slightly bent.
2. Step or hop off and land softly on the same foot.
3. Absorb the impact by bending the hip and knee and keep your chest upright.
4. Hold the stable single-leg position for two to three seconds before stepping down.",Land softly with knee tracking over toes and hips absorbing impact,5.5
82,Nordic Hamstring Curls,40–59,Weight gain,Strength,Lower,Bodyweight,Advanced,Knee pain (general / chronic),3,6–8,7–9,90–120 sec,Builds eccentric hamstring strength and posterior chain control,"1. Kneel with your ankles secured under a stable support or a partner's hold.
2. Keep a straight torso and hinge from the knees while bracing the core.
3. Slowly lower your chest toward the floor using the hamstrings to control the descent.
4. Push with your hands or use hip drive to return to the upright kneeling start.",Control the descent with a braced core and neutral spine,4
83,Explosive Lateral Lunges,All Ages,Weight loss,Cardio,Lower,Bodyweight,Intermediate,Knee pain (general / chronic),3,8–10,7–8,60–90 sec,Enhances lateral power and hip stability,"1. Stand tall with feet hip-width apart and chest up.
2. Step wide to the side and push your hips back while bending the lead knee.
3. Explode back to center by driving through the lead foot and return to standing.","Push through the lead heel, keep chest tall and knee aligned over the foot",6
84,Knee-to-Feet Jumps,40–59,Weight loss,Cardio,Full,Bodyweight,Advanced,Knee pain (general / chronic),3,6–8,7–9,90–120 sec,Improves vertical explosiveness and reactive lower limb power,"1. Start kneeling on both knees with weight slightly forward.
2. Explode upward by swinging your arms and drive through your feet to land on both feet.
3. Absorb the landing with bent knees and reset to the kneeling position.",Hinge at the hips and land softly with knees bent and chest upright,7
85,Weighted-Body Wall Sits,All Ages,Weight gain,Strength,Lower,Bodyweight,Intermediate,Knee pain (general / chronic),3,30–60,6–8,60–90 sec,Increases quadriceps endurance and isometric lower body strength,"1. Lean your back against a wall and walk your feet forward until knees form about a 90-degree angle.
2. Hold a weight at chest level or wear a weighted vest while keeping hips and shoulders against the wall.
3. Maintain the wall-sit position for the prescribed time while breathing steadily.",Press your lower back into the wall and keep knees aligned over ankles,4.5
