Exercise Name,Age Suitability,Goal,Primary Category,Body Region,Equipments,Fitness Level,Physical Limitations,Sets,Reps,RPE,Rest intervals,Health benefit,Steps to perform,Safety cue,MET value,is_not_suitable_for
Seated Torso Rotation (Small),60+,Weight Maintenance,Cardio,Core,Bodyweight,Beginner,Knee injury (ACL / meniscus / post-surgery),3,12–15,6–7,30–45 sec,Increases spinal mobility and improves trunk rotation control,"1. Sit upright with feet flat and hands on hips or across chest.
2. Rotate the torso a small amount to one side keeping hips still.
3. Return to center and rotate a small amount to the other side.
4. Continue alternating with controlled movement and a neutral spine.",Rotate from the upper spine with hips square and core engaged,2,None
Standing Reach Walk (No Step),40–59,Weight Loss,Cardio,Full,Bodyweight,Beginner,Knee injury (ACL / meniscus / post-surgery),3,10–12,7–8,45–60 sec,Enhances dynamic balance and forward reach confidence without stepping,"1. Stand with feet hip-width and hinge slightly at the hips.
2. Reach one arm forward while shifting weight slightly but keep feet planted.
3. Return the arm and repeat with the other arm as if walking without stepping.",Reach forward with a tall neutral spine and control each movement without stepping,2.4,None
Ankle Alphabet,All Ages,Weight Maintenance,Mobility,Lower,Bodyweight,Beginner,Knee injury (ACL / meniscus / post-surgery),2,1–2,6–7,30–45 sec,Improves ankle range of motion and proprioception through controlled movements,"1. Sit with one leg extended or supported and the other foot free.
2. Lift the foot slightly and use the big toe to trace the letters of the alphabet in the air.
3. Reverse direction or switch feet and repeat at a controlled pace.",Trace the alphabet with controlled ankle motion keeping the foot relaxed and supported,4,None
Seated Hip Extension,60+,Weight Gain,Mobility,Lower,Bodyweight,Beginner,Knee injury (ACL / meniscus / post-surgery),3,12–15,7–8,45–60 sec,Strengthens glutes and supports hip extension mobility,"1. Sit tall near the edge of a chair with feet flat and hands for support.
2. Press one heel into the floor and extend the same-side hip back to lift the foot slightly.
3. Squeeze the glute briefly at the top and keep the torso steady.
4. Lower the foot back down and repeat on the other side.",Keep the pelvis level and drive the movement from the glutes with core engaged,2.6,None
Standing Pelvic Tilt,40–59,Weight Loss,Mobility,Core,Bodyweight,Beginner,Knee injury (ACL / meniscus / post-surgery),3,10–15,6–8,30–45 sec,Improves lower back and core stability,"1. Stand with feet hip-width apart and knees soft.
2. Tuck the tailbone and draw the belly in to flatten the lower back.
3. Hold the tilt for a few seconds while breathing normally.
4. Release to neutral and repeat.",Keep core braced and tilt the pelvis using the low abdominals,5,None
Shoulder Roll Flow,All Ages,Weight Maintenance,Mobility,Upper,Bodyweight,Beginner,Knee injury (ACL / meniscus / post-surgery),2,10–12,6–7,15–30 sec,Enhances shoulder mobility and loosens upper back muscles,"1. Stand tall and relax your arms by your sides.
2. Roll both shoulders up, back, and down in a smooth arc.
3. Reverse the direction with slow controlled rolls.
4. Keep breathing steadily throughout the movement.",Roll the shoulders slowly with control keeping the neck relaxed,2.2,None
Neck Retraction Drill,60+,Weight Maintenance,Mobility,Upper,Bodyweight,Beginner,Knee injury (ACL / meniscus / post-surgery),3,8–10,6–8,15–30 sec,Promotes neck alignment and reduces forward head posture,"1. Sit or stand tall with the chin level.
2. Draw the chin straight back to create a double chin without tilting the head.
3. Hold briefly, relax to neutral, and repeat.",Retract the chin straight back keeping eyes level and spine neutral,6,None
Seated Spine Flexion,All Ages,Weight Gain,Mobility,Core,Bodyweight,Beginner,Knee injury (ACL / meniscus / post-surgery),2,8–12,6–7,30–45 sec,Increases spinal flexibility and stretches the lower back,"1. Sit on the edge of a chair with feet flat and hands on your thighs.
2. Exhale and round the spine, curling the chest toward the thighs.
3. Inhale and return to an upright tall spine.",Exhale as you round forward and hinge from the hips with the pelvis anchored,6,None
Standing Calf Pump,40–59,Weight Loss,Mobility,Lower,Bodyweight,Beginner,Knee injury (ACL / meniscus / post-surgery),3,15–20,6–7,15–30 sec,Improves ankle mobility and stimulates calf muscle activation,"1. Stand with feet hip-width and hands lightly on a wall or chair.
2. Rise up onto the balls of your feet, lifting the heels as high as comfortable.
3. Lower the heels back to the floor with control.
4. Repeat the rise and lower rhythmically.",Keep a soft bend in the knees and pump through controlled ankle movement,3,None
Wrist Mobility Circles,60+,Weight Maintenance,Mobility,Upper,Bodyweight,Beginner,Knee injury (ACL / meniscus / post-surgery),2,15–20,6–7,15–30 sec,Maintains wrist range of motion and eases joint stiffness,"1. Extend one arm and form a loose fist with the hand.
2. Rotate the wrist in slow circles clockwise for several repetitions.
3. Reverse the circles counterclockwise and switch hands.",Circle the wrists slowly with relaxed forearms and shoulders down,6,None
Breathing + Arm Sweep,All Ages,Weight Maintenance,Mobility,Full,Bodyweight,Beginner,Knee injury (ACL / meniscus / post-surgery),3,8–12,6–7,15–30 sec,Enhances rib cage expansion and coordinates breath with movement,"1. Stand tall with feet hip-width and arms at your sides.
2. Inhale deeply while sweeping both arms up overhead.
3. Exhale while sweeping the arms down and forward to the starting position.
4. Coordinate steady breathing with each sweep.",Inhale to sweep the arms overhead and exhale as you lower with control,6,None
Standing Hip Abduction (Short),40–59,Weight Gain,Mobility,Lower,Bodyweight,Beginner,Knee injury (ACL / meniscus / post-surgery),3,10–15,6–8,30–45 sec,Strengthens hip abductors and improves lateral stability,"1. Stand tall and hold a stable surface for balance.
2. Lift one leg straight out to the side without tilting the torso.
3. Lower the leg with control and repeat on the other side.",Stand tall and lift the leg from the outer hip without leaning the torso,2.8,None
Standing Calf Stretch,40–59,Weight Maintenance,Flexibility/Stretching,Lower,Bodyweight,Beginner,Knee injury (ACL / meniscus / post-surgery),2,20–30,6–7,30–45 sec,Increases calf flexibility and ankle range of motion,"1. Stand facing a wall and place hands on the wall.
2. Step one foot back with toes pointing forward and heel down.
3. Bend the front knee and shift weight forward until you feel the calf stretch.
4. Keep the back leg straight and hold the position.",Maintain controlled movement and proper alignment throughout,2,None
Neck Side Stretch,60+,Weight Maintenance,Flexibility/Stretching,Upper,Bodyweight,Beginner,Knee injury (ACL / meniscus / post-surgery),2,15–30,6–7,15–30 sec,Enhances lateral neck mobility and movement range,"1. Sit or stand tall with shoulders relaxed.
2. Place one hand on the side of your head and gently pull your ear toward your shoulder.
3. Keep the opposite shoulder down and hold the stretch.",Maintain controlled movement and proper alignment throughout,4,None
Overhead Reach Stretch,All Ages,Weight Gain,Flexibility/Stretching,Upper,Bodyweight,Beginner,Knee injury (ACL / meniscus / post-surgery),2,15–20,6–8,30–45 sec,Promotes shoulder mobility and thoracic extension,"1. Stand with feet hip-width apart and arms at your sides.
2. Raise both arms overhead and interlace fingers or turn palms up.
3. Reach upward through your fingertips and hold the stretch.",Engage your core and reach upward without overarching the lower back,2.1,None
Seated Spinal Lengthening,60+,Weight Loss,Flexibility/Stretching,Core,Bodyweight,Beginner,Knee injury (ACL / meniscus / post-surgery),2,20–30,6–8,30–60 sec,Encourages upright posture and spinal alignment,"1. Sit at the edge of a chair with feet flat and sit bones grounded.
2. Sit tall and reach the crown of your head upward to lengthen the spine.
3. Maintain length as you hold and breathe evenly.",Sit tall with a neutral chin and lengthen the spine as you inhale,4,None
Supported Quad Stretch (Shallow),All Ages,Weight Maintenance,Flexibility/Stretching,Lower,Bodyweight,Beginner,Knee injury (ACL / meniscus / post-surgery),2,20–30,6–7,30–45 sec,Gently increases quadriceps flexibility and knee joint range,"1. Stand beside a chair or wall and place one hand on it for support.
2. Bend the knee of the working leg and bring the heel toward your buttock.
3. Grasp the ankle lightly and keep knees close and hips level.
4. Pull gently a shallow distance and hold the position.",Maintain controlled movement and proper alignment throughout,4,None
Diaphragmatic Breathing,60+,Weight Maintenance,Flexibility/Stretching,Core,Bodyweight,Beginner,Knee injury (ACL / meniscus / post-surgery),3,6–10,6–7,15–30 sec,Improves breath control and promotes relaxation,"1. Sit or lie comfortably with one hand on your abdomen and one on your chest.
2. Inhale slowly through the nose and let your abdomen rise while the chest stays still.
3. Exhale slowly through the mouth and let the abdomen fall.","Breathe slowly into the belly, expanding the ribs while keeping shoulders relaxed",5,None
Full Body Reach Stretch,All Ages,Weight Loss,Flexibility/Stretching,Full,Bodyweight,Beginner,Knee injury (ACL / meniscus / post-surgery),2,15–20,6–8,30–60 sec,Enhances whole body mobility and coordinated movement patterns,"1. Stand with feet hip-width apart and arms at your sides.
2. Inhale and sweep both arms overhead while lengthening through the spine.
3. Reach upward and slightly back through the fingertips while keeping hips neutral.
4. Lower the arms back down with control.",Reach through the fingertips while keeping the ribs down and spine long,4,None
Arm Cross Stretch,40–59,Weight Gain,Flexibility/Stretching,Upper,Bodyweight,Beginner,Knee injury (ACL / meniscus / post-surgery),2,15–30,6–7,15–30 sec,Targets posterior shoulder and upper back mobility,"1. Bring one arm across your chest at shoulder height.
2. Use the opposite hand to press the arm near the elbow toward your chest.
3. Keep the shoulders down and hold the stretch.",Keep the torso square and pull the arm across the chest with a straight spine,6,None
Single-Leg Stand (Support),40–59,Weight Loss,Balance & Stability,Lower,Bodyweight,Beginner,Knee injury (ACL / meniscus / post-surgery),3,20–30,6–8,45–60 sec,Improves unilateral balance and lower limb stability,"1. Stand beside a stable surface and place a hand lightly on it for support.
2. Shift weight to one leg and lift the opposite foot off the floor, bending the knee.
3. Maintain an upright spine and hold the position while using the support as needed.","Keep the standing knee slightly bent, hips level, and lightly touch support for stability",3,"Hypertension, Coronary Artery Disease"
Standing Core Brace Hold,All Ages,Weight Maintenance,Balance & Stability,Core,Bodyweight,Beginner,Knee injury (ACL / meniscus / post-surgery),3,20–30,7–8,30–60 sec,Improves core strength and spinal stability,"1. Stand with feet hip-width and knees soft.
2. Brace your core by drawing the belly button toward the spine.
3. Hold the brace while breathing steadily.",Brace the core and maintain a neutral spine,2,"Hypertension, Coronary Artery Disease"
